tweet,label
com o cara faixapreta que venceu a dengue ducatambasco haha foi muito bom te rever brother,1
dengue me pegou dnv,1
prefeitura de santa cruz divulga plano de ação de enfrentamento a dengue chicungunya e zika,0
seguimos na luta contra a dengue chikungunya e o zika vírus com essas três doenças não dá para,0
g1 pr segunda morte por dengue em paranaguá é confirmada pela saúde  g1 ,1
somos país do carnaval futebol  dengue  zika políticos ladrões  calabocalula,0
uma pequena campanha contra a dengue pp  faculdade maurício de,0
não  deixe a dengue chegar em sua casa combata o mosquito  rádio g12 ,0
lar perfeito para o mosquito do mal ao lado de casa zicavirus dengue  belo horizonte  gutierrez ,0
borá fazer exame de sorologia de dengue  ubs milton gavetti in londrina paraná ,0
olha o mosquito da dengue  aí robertorizzo  beira mar fortalezace ,0
ta osso essa porrada de mosquito da dengue aqui no bairro ta cheio,1
sábado tbm é dia de trabalho combate ao mosquito aedes parabéns equipe belo trabalho dengue,0
sendo comido por mosquitos da dengue  sala da oab in turvânia goiás ,1
alexdobairro13 kkkkkkkk nn to com ebola  so com suspeita de dengue,1
dia d contra a dengue parte 2  bairro planalto ,0
prefeitura d matinhos ignora completamente epidemia de dengue no paísmas a queima d fogos está garantida ,0
gabbsfagundes idai não me importaria de ver um maniaca com dengue não me importo com esses pequenos detalhes e vc poderia ter falado,0
na boa só posso estar com dengue viu ,1
meu novo perfume eau denguè em tempos de epidemia não dá pra esquecer o repelente saidengue,0
e hoje é assim vamos trabalhar fazendo propaganda contra dengue faça sua parte e não deixe o,0
gente a zika chikungunya e dengue acabaram de aterrissar  no studio jornalnacional a caçada é ao vivo corre,0
davi com dengue show so do bruninho svdhdhdhdjshsh,1
carnaval contra  zika dengue e mosquitos pentelhos xôdengue obaoba carnaval combateadengue,0
cara não ter vontade de dormir e por causa da maldita possível dengue é um saco mosquitozero ,1
esse mosquito da dengue infelizmente não sobreviveu para fazer a tragédia só falta descobrir,0
escolas entrando no combate ao mosquito da dengue e de verdade um reforço fantástico paulogarciapt e escolas de parabéns educação,0
foi preciso uma grande epidemia d dengue microcefalia além d gbarrê para q tivéssemos uma vacina para dengue pra q serve governo,0
bem q falam por aqui  q quem pegou dengue é por pura vagabundagem pq minha mãe limpo tudo aqui e nós não pegamos,0
tvrecord doegue é o único soldado que aceitar matar os profetas reidavi eu li dengue e vcs ,0
repost sindusconma with repostapp  com o aumento nos casos da dengue zika e chicungunha,0
acho que eu to com dengue,1
holycrapspn lokideuso 1hunterheart deanmonrules sracollinsbitch denguezikachico cunha,0
até que enfim encontraram o culpado pelo mosquito da dengue a,0
por um mundo em que mosquitos da dengue morram com barulhos goodevenning selfie gingham ,0
nem a dengue me deixa feia chora inimigas,0
tô c dengue pela segunda vez,1
vale tudo na luta contra o mosquito que está preocupando o  planeta dengue zicavirus,0
contra dengue  propolis e este com romã que amo juntos  sebo loucos por livros ,0
em tempos de dengue cultive uma planta carnívora em casa  dengue,0
se é dengue ou essa tal de chikungunya eu não  sei só sei que não,0
vacina contra dengue mais eficiente é matar mosquito,0
porque a imprensa mente tanto nos números da dengueem paranaguá são mais de 1500 casos e eles divulgam 473porque esconder a verdade,0
um mosquito me picou que tá saindo sangue do meu braço socorro tô com dengue,1
muito se falou da dengue e foi constatado que o adesivo na porta das,0
as enfermeiras ou enfermeiros contra a dengue faturaram o concurso das escandalosas amanhã a,0
praça da caesb desse jeito pode ser local de criadouro do mosquito da dengue  em uma ação,0
epaes  morre mais gente de gripe do que de dengue ou zica esse é pilantra mesmo,0
o mosquito da dengue destruiu minha foto  serra das araras ,0
2014= lepo lepo  època da sofrência e crise  2015= muriçoca  zika dengue  chikungunya 2016= metralhadora  tamo fudido,0
baixe o app sem dengue e lute no combate ao mosquito aedes aegypti  app by colab  aedesaegypti zicazero,0
prefeitura já esta multando quem deixa focos de dengue em goiania,0
ele vai almoçar no quartel pra dar treinamento pros milico sobre a dengue,0
guerra ao mosquito  dengue zika vírus e febre chikungunya esta,0
todo mundo reclamando dos mosquitos vamos rezar pra nao pegar dengue esse verão galera kkkkkkkllll,0
dengue zika e chikungunya a vista na praia de barreta” olhe esse terreno cadê a prefeitura a saúde pública ,0
tudo mundo aqui em casa com dengue menos eu tô até vendo quando todo mundo sarar pá lá vem eu,1
o aedes aegypti está por aí  batalha contra o mosquito que é vetor de doenças como dengue zika e chikungunya ,0
dilma n consegue nem combater o mosquito da dengue imagina o ei,0
que dor no corpo isso é dengue ou é pq eu dormi no sofá,1
to me conformando q to c dengue n consigo sair da cama,1
6° dia con dengue cada uno se cuida como puede  chocolate  goiânia  setor bueno ,1
dengue sua vagabunda,0
prevenção é tudo chicugunha  dengue  zika zikavirus  arapiraca,0
quais bairros da capital tem mais incidência de dengue via,0
um cativeiro para mosquitos da dengue bem pertinho de nós será que a prefeitura do recife,0
 dengue   intertv cabugi in natal rn ,0
depois q pegou dengue nunca mais foi o mesmo,1
todos contra a dengue  territorioanimal biologocaio paranaguásemdengue  rocha terminais,0
a dengue e a única coisa que me ama,0
mafiasummers eu preferia  o dengue,0
se os vizinhos não tivessem criadouros de mosquitos o mundo seria melhor  dengue mosquito,0
vereadores aprovam projeto que dobra o valor da multa para quem não cuida de seus terrenos e tem criadores da dengue parabéns,0
abre alas para o combate à dengue sambódromo anhembi sãopaulo carnaval2016  sambódromo em,0
projeto todos de mãos dadas contra a dengue ganhando destaque na nossa região noroeste,0
combate a dengue combateadengue xozika  calçadão lins ,0
alguém tem que jogar um veneno no mar pra matar o mosquito da dengue  pq água parada não pode ficar  sabadodetremurasdv,0
paulogarciapt jornalhoje tvsdnoticias tvanhanguerago  alerta foco de dengue e onda de assaltos aqui e região ,0
sdds quando o aedes só dava dengue,0
ta tenso levo uma picada de mosquito ja penso que vou ter dengue,0
ja peguei 4 vezes dengue acho que agora eu não morro mais,1
você acaba de ser picado pelo mosquito aedes aegypti escolha a seguir por qual vírus deseja ser infectado dengue chikungunya zica,0
o vírus da dengue é transmitido pela picada da fêmea do aedes aegypti um mosquito diurno que se,0
dengue zika aedes  a guerra está perdida haja repelente  estação presidente altino ,0
vcs não tem noção da paranóica que a raiene é com os mosquitos da dengue,0
que louco seria se as pessoas ao inves de cuidar da vida dos outros  combatessem o mosquito da dengue,0
você sabe os sinais e sintomas da dengue zika e chinkungunya   ,0
af esses mosquitos da dengue tão por toda parte aqui na rua que eu moro os povos tão tudo doente meu tiu hoje foi pro hospital,1
não sei o que é mais vergonhoso acontecer em um país com epidemia de dengueo carnaval ou as olimpíadas,0
charge tacho sinovaldo dengue aedes jornalvs vs  bancários,0
eai pessoal hj é o dia contra o mosquito da dengue hein,0
perfil parado tbm dá dengue ••  sobral ceara ,0
tirando ganso morto e michel dengue qual mais opções temos de meio de campo wesley,0
zikarlavajataglobofascistas dengue charlatanicospauta pseudoepidemiacapitalistas pra movimentar bilhõesunúmeros envergonhampovo,0
tudo o q mateus fala eu entendo esse remedio é contraindicado em caso de suspeita de dengue bbb16,0
brn   brazil grapples with spread of zika virus and dengue fever são paulo—the mosquitoborne zika virus,0
estadao zika se disseminou em um ano dengue demorou vinte  precisamos fazer nossa parte,0
2 dias na farm sem net e com risco de pegar dengue foi top em,0
se parar da dengue xia mercadin saizika  chicocunha mazokasim  mercado das borboletas ,0
faz tempo que há epidemia de dengue no litoral do paraná mas só agora o governo do estado admitiu ,0
mais uma manhã em combate a dengue  xodengue combateaomosquito,0
oi dengue péssimo vêla novamente  hospital lifecenter in belo horizonte mg  ,1
meu wpp ta mais parado doq água p dengue,0
as pref das cidades litorâneas deveriam gastar menos em festas c fogos e mais no combate a dengue as praias estão impestadas de mosquitos,0
propagandas oficiais d bb cef correio petrobras é permanente enquanto nd sobre dengue zika gravidez etc instruções preventivas fortes,0
pesquisando na internet nesse momento se pode beber com dengue ,1
todos contra a dengue  seconci manaus também faz parte dessa,0
tcc finalizado com sucesso    projetointegrador grupo10 dengue chegamosla,0
estou cm suspeita de dengue ,1
minha mãe é fora do normal com dengue mais não deixa de xingar kkkkkkkkkk,1
capacitação sobre o aedes aegypti para os acs e ace dengue zika,0
dengue essa luta começa em casa concientização luta denge ,0
sobre esse sabado = ta tão parado que daqui a pouco vira criadouro de dengue,0
a luta contra a dengue é  constante  por isso não vamos abaixar a guarda  belo horizonte,0
fiz o hemograma ontem e o teste da dengue minhas plaquetas baixaram,0
bruscampos gente eu caí no boliche ok ok agora vamos falar sobre a dengue,0
as piores pragas no brasil nos últimos 12 anosptlulazicadengue e a pior de todas dilma,0
dia d contra a dengue  semus  secretaria municipal de saúde de ponte alta do tocantins ,0
andygalo13 recentemente fui contaminado através do mosquito da dengue pelo anelka virús que não me deixa acreditar na empolgação,1
karollinnel eu acho que dengue pelo menos eu peguei,1
kkk agenciabrasil governo promove faxinaço contra dengue na esplanada dos ministérios  ,0
meu wpp nunca esteve assim mais parado que água da dengue,0
to com dengue   saquarema ,1
oie gente onde eu tava com dengue eu to no doente to mal,1
todos contra a dengue  vila olímpica de manaus ,0
esses jornais falam três palavras e dengue noussa,0
por essa água de jesus  xo dengue  escola municipal de saúde ,0
ai boa vacina contra dengue jornahoje,0
meu whatsapp tá mais parado que aguá com mosquito da dengue,0
missao de combate a dengue   4ª cia de polícia do exército ,0
pedindo dengo pro mosquito da dengue,0
passa minha dengue pras pessoas que n fazem nada,1
luizmelo50  tem uma praga chamada funk é trocar a dengue por chicungunha zika microcefalia,0
